4. AI Tool Usage Experience,5.  How often do you use AI tools  to find information or solve problems? ,To what extent do you rely on AI tools for decision-making?,"7. When faced with a problem, how likely are you to rely on AI tools (e.g., ChatGPT, Copilot) instead of solving it independently?  
","8.  I treat GenAI content as a starting point and try to develop my own ideas about it.
",9. I often cross-check information provided by AI tools with other sources.  ,"10.  I am willing to accept AI recommendations without verification when I am under time pressure.
","11.  I fear that excessive reliance on AI could weaken my ability to think independently.
","12.  I am aware that using AI reduces my ability to recall previously learned information.
","13.  I recognize that my over-reliance on AI is reducing opportunities for independent problem-solving.
","14. I feel remorseful about my tendency to avoid intellectual challenges by turning to AI solutions.
","15.  I feel regretful when I realize I've become overly dependent on AI instead of developing my own thinking skills.
","16.  I experience regret after completing tasks knowing that I relied too heavily on AI rather than my own abilities.
","17.  I find AI tools help me save time when searching for information.
",18. Using generative AI tools enhances my confidence in solving problems independently.,"19. I am confident that using generative AI enhances my learning efficiency.
","20. I feel satisfied with the quality of learning I achieve when using AI tools appropriately.
","21.  My overall learning experience is enhanced when I use AI as a collaborative tool.

","22. Using generative AI tools gives me a positive emotional experience.
","23.Interacting with GenAI does not require a lot of my mental effort.
","24.  I find using AI reduces the cognitive burden of complex tasks.
","26. What is your Avg CGPA?
Your privacy is very important to us. All information you provide in this survey will be kept strictly confidential and used only for the purposes of this research. "
More than 2 years,Always,7,7,7,7,7,7,7,7,4,3,7,2,6,5,2,4,7,7,3,4
More than 2 years,Always,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.25
1-2 years,Always,5,5,5,5,6,2,2,2,4,4,4,7,7,7,7,7,6,4,7,3.7
6-12 months,Always,6,4,6,4,6,6,3,5,5,5,4,7,6,7,5,7,5,6,7,3.57
More than 2 years,Always,4,2,4,4,4,1,7,5,1,5,3,7,2,3,2,7,6,7,7,3.15
6-12 months,Always,4,5,7,7,7,1,1,1,1,1,1,7,7,7,7,7,7,7,7,3
6-12 months,Always,3,3,3,2,5,7,7,6,2,2,2,6,5,5,6,6,6,6,6,2.4
More than 2 years,Always,6,6,6,5,2,7,6,6,4,5,5,7,6,6,6,6,6,4,6,3.39
1-2 years,Sometimes,4,7,4,4,7,7,7,7,7,1,4,7,7,7,4,7,4,7,7,3
6-12 months,Sometimes,5,4,6,6,2,6,4,4,3,6,5,7,6,6,2,4,6,4,6,3.5
More than 2 years,Often,1,3,7,7,1,7,6,2,1,1,1,6,1,6,3,6,4,2,1,3.38
More than 2 years,Always,1,1,5,2,7,2,1,3,2,7,1,7,7,7,7,7,7,6,7,3.15
6-12 months,Often,4,4,4,5,5,6,4,5,4,5,5,5,3,5,4,4,3,3,4,3.75
1-2 years,Always,2,3,3,4,1,5,5,6,3,3,3,3,2,2,4,6,3,2,2,3
More than 2 years,Often,5,4,5,6,5,6,6,6,6,7,4,6,5,7,5,7,6,6,6,3.3
More than 2 years,Always,4,4,6,6,5,7,7,7,4,4,4,6,5,4,4,4,5,5,6,3.89
1-2 years,Often,3,1,5,7,1,7,5,4,1,1,1,5,1,4,3,3,6,1,4,3.8
1-2 years,Always,4,3,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3.62
1-2 years,Always,4,3,5,4,3,3,3,3,7,7,6,3,4,5,2,4,3,2,7,3.32
6-12 months,Sometimes,4,4,4,5,4,5,5,5,4,4,4,6,5,4,4,5,5,5,5,3.5
6-12 months,Often,6,2,1,3,5,1,2,7,5,7,3,5,5,3,7,5,4,7,4,3.56
